Respondent,InterviewDuration,RandVar,S1,Q01,Q02,Q03,Q04,Q05,Q06Num,Q07Num,Q06,Q06a,Q06b,Q06b_TXT,Q06c,Q07,Q07a,Q07bNum,Q07cNum,Q07b,Q07c,Q07d,Q07d_TXT,Q08,Q08b,Q08b_TXT,Q09Var,Q09varA,Q09varB,Q09varC,Q10Var,Q10varA,Q10varB,Q10varC,Q11Var,Q11varA,Q11varB,Q11varC,Q12Var,Q12varA,Q12varB,Q12varC,Q09,Q10,Q11,Q12,Q12b,Q13,Q14,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_80,Q17_TXT,Q18,Q19,Q20,Q21,Q22,Q23,Q24a,Q24,Q25,Q26,Q26_TXT
661,961,2,Yes,Male,40-55,3-10 miles,6+,Good knowledge,20,20,Yes,Quite sure,,,Question skipped,Yes,Quite sure,40,,No,Question skipped,,,Option A,,"The amount of micro plastic released into the environment are both the same , so you are having the same affect . £5 extra would be a waste of money , achieve little",1,50%,40%,£5,2,5%,40%,£2.50,2,5%,10%,£1,1,50%,10%,£0.50,Option B,Option B,Option A,Option B,Very sure,4,5 – Completely agree,3,Some of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Strong knowledge,Don’t know,2,A level or college equivalent,Full-time employment,Yes,£1501-£2000,9,,"very interesting subject matter, which i feel is important to highlight.  i had bought a t-shirt from Fat face where part of the purchase went towards a charity involved with plastics in the sea"
662,408,2,Yes,Female,18-25,50+ miles,01-Feb,Little knowledge,10,10,No,Very sure,Chosen,Don't know,Very sure,No,Very sure,,5,Question skipped,No,,Trying to save money where possible on household bills.,Option B,Chosen,Don't know,3,5%,10%,£5,1,10%,10%,£0.50,3,10%,90%,£5,4,5%,10%,£5,Option A,Option A,Option A,Option A,Very sure,3,4,4,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Yes,3,Bachelor’s degree,Part-time employment,Yes,£1501-£2000,5,Chosen,No further comments
665,230,2,Yes,Male,26-39,21-49 miles,6+,No knowledge,100,5,No,Quite sure,,fine people who waste plastic and not recycle,Quite sure,No,Quite sure,,2,Question skipped,No,Chosen,Don't know,Option A,,no cost,1,50%,40%,£5,2,5%,40%,£2.50,1,5%,90%,£2.50,3,10%,40%,£1,Option A,Option A,Option A,Option A,Quite sure,3,4,2,None of it,Not chosen,Not chosen,Not chosen,Chosen,Not chosen,,No,No knowledge,No,3,GCSE’s / O levels,Full-time employment,Yes,£1501-£2000,10 - Perfectly clear,Chosen,No further comments
666,966,2,Yes,Male,26-39,0-2 miles,01-Feb,No knowledge,100,100,No,Unsure,,The cost appears to outweigh the benefits.  It may be ignorance but this perception could change with more information made available.,Unsure,Yes,Quite sure,200,,No,Question skipped,,,Option A,,The cost is much higher than I would like and efficacy is much lower without microplastics.,1,50%,40%,£5,2,5%,40%,£2.50,2,5%,10%,£1,4,5%,10%,£5,Option A,Option B,Option A,Option A,Very sure,3,4,4,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,No,3,Bachelor’s degree,Part-time employment,No,£5001+,8,Chosen,No further comments
667,456,2,Yes,Female,56-70,21-49 miles,01-Feb,Little knowledge,90,80,No,Quite sure,,I would be prepared to pay more but not as much as £90,Quite sure,No,Quite sure,,40,Question skipped,Yes,,,Option A,,Too higher price for no gain,3,5%,10%,£5,1,10%,10%,£0.50,3,10%,90%,£5,4,5%,10%,£5,Option A,Option A,Option A,Option A,Quite sure,3,4,4,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,3,Bachelor’s degree,Part-time employment,Yes,Prefer not to say,10 - Perfectly clear,Chosen,No further comments
668,776,2,Yes,Female,56-70,50+ miles,0,Average knowledge,10,90,Yes,Very sure,,,Question skipped,No,Very sure,,45,Question skipped,No,,My income is limited,Option B,,i tend to buy personal care product for their performance so if they didn't perform the way that i need i would try to find something that does,3,5%,10%,£5,3,5%,40%,£0.50,3,10%,90%,£5,4,5%,10%,£5,Option B,Option B,Option B,Option B,Quite sure,3,3,4,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,Don’t know,3,Prefer not to say,Retired,No,£1001-£1500,7,Chosen,No further comments
669,281,1,Yes,Female,40-55,50+ miles,01-Feb,Little knowledge,10,5,Yes,Unsure,,,Question skipped,Yes,Unsure,10,,Yes,Question skipped,,,Option B,Chosen,Don't know,2,50%,90%,£1,2,5%,40%,£2.50,1,5%,90%,£2.50,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Unsure,3,3,3,Some of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Don’t know,4,Postgraduate degree,Full-time employment,Yes,£1001-£1500,9,Chosen,No further comments
670,252,1,Yes,Female,18-25,3-10 miles,6+,Strong knowledge,100,40,Yes,Quite sure,,,Question skipped,Yes,Very sure,80,,Yes,Question skipped,,,Option B,,More impact,2,50%,90%,£1,4,5%,10%,£1,3,10%,90%,£5,4,5%,10%,£5,Option B,Option B,Option B,Option B,Quite sure,3,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Strong knowledge,Yes,5 – Very confident,Bachelor’s degree,Student,Yes,£0-£500,10 - Perfectly clear,Chosen,No further comments
671,410,2,Yes,Male,40-55,Don’t know,03-May,No knowledge,80,10,No,Quite sure,,i cant afford to pay any more,Very sure,No,Very sure,,5,Question skipped,No,,i pay enough already,Option A,Chosen,Don't know,3,5%,10%,£5,3,5%,40%,£0.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Very sure,5 – Completely agree,5 – Completely agree,2,None of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,No knowledge,Don’t know,5 – Very confident,GCSE’s / O levels,"Not in education, employment or training",Yes,£0-£500,10 - Perfectly clear,Chosen,No further comments
672,620,2,Yes,Female,40-55,50+ miles,6+,No knowledge,90,90,No,Quite sure,,Bill's are already expensive,Quite sure,No,Unsure,,45,Question skipped,Yes,,,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option A,Option B,Option B,Quite sure,4,4,4,None of it,Chosen,Not chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Yes,3,GCSE’s / O levels,"Not in education, employment or training",No,£0-£500,7,Chosen,No further comments
674,376,2,Yes,Male,40-55,21-49 miles,03-May,Strong knowledge,100,20,No,Quite sure,,i would be very willing to pay for the reduction of microplastics but it seems a lot just for research when we already know how harmful they are,Quite sure,Yes,Very sure,40,,Yes,Question skipped,,,Option A,,option b offers no benefit to either the consumer or the environment,1,50%,40%,£5,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option A,Option A,Option B,Quite sure,3,4,5 – Completely agree,None of it,Not chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Good knowledge,Don’t know,4,Postgraduate degree,Full-time employment,Yes,£5001+,10 - Perfectly clear,Chosen,No further comments
675,178,1,Yes,Male,40-55,0-2 miles,6+,Average knowledge,100,80,Yes,Very sure,,,Question skipped,Yes,Very sure,160,,No,Question skipped,,,Option A,,More systematic and efficient,3,5%,10%,£5,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option B,Option B,Option B,Very sure,4,4,4,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Good knowledge,Yes,4,Postgraduate degree,Part-time employment,No,£3001-£4000,9,Chosen,No further comments
676,356,1,Yes,Female,40-55,Don’t know,0,Little knowledge,100,5,No,Very sure,,no spare money,Very sure,No,Quite sure,,2,Question skipped,No,,I simply do not have the money to spare,Option A,Chosen,Don't know,4,10%,10%,£2.50,2,5%,40%,£2.50,4,5%,90%,£0.50,1,50%,10%,£0.50,Option A,Option A,Option A,Option A,Very sure,3,4,4,Some of it,Chosen,Not chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Don’t know,2,Bachelor’s degree,Self-employed,Yes,£2001-£2500,7,Chosen,No further comments
677,191,2,Yes,Male,40-55,50+ miles,01-Feb,Little knowledge,40,60,Yes,Quite sure,,,Question skipped,Yes,Quite sure,120,,Yes,Question skipped,,,Option B,Chosen,Don't know,2,50%,90%,£1,4,5%,10%,£1,1,5%,90%,£2.50,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Quite sure,3,3,5 – Completely agree,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,Yes,Average knowledge,Yes,3,A level or college equivalent,Full-time employment,No,£2001-£2500,8,Chosen,No further comments
680,606,1,Yes,Male,40-55,50+ miles,01-Feb,No knowledge,90,40,No,Very sure,,Pay enough for bills as it is they should get the money from the share holders dividends as all water companies are private and pay out large dividends,Very sure,No,Very sure,,20,Question skipped,Yes,,,Option B,,It’s worth it to be free from these particles which could be harmful,2,50%,90%,£1,2,5%,40%,£2.50,4,5%,90%,£0.50,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Very sure,3,3,4,Some of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Little knowledge,Yes,3,GCSE’s / O levels,Retired,No,£1501-£2000,7,Chosen,No further comments
682,393,2,Yes,Female,40-55,50+ miles,0,Little knowledge,40,20,Yes,Unsure,,,Question skipped,Yes,Very sure,40,,No,Question skipped,,,Option B,,"If it cost more, it's better to put people pff",2,50%,90%,£1,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,4,4,5 – Completely agree,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,Yes,4,GCSE’s / O levels,Full-time employment,Yes,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
683,416,2,Yes,Female,40-55,50+ miles,01-Feb,Little knowledge,5,90,Yes,Quite sure,,,Question skipped,No,Very sure,,45,Question skipped,No,,I am on a strict budget and already struggle to pay house hold bills particularly after Coronavirus.,Option A,,Cost and effectiveness is seriously compromised.,2,50%,90%,£1,3,5%,40%,£0.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option B,Option A,Option A,Very sure,4,4,4,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Don’t know,4,A level or college equivalent,Part-time employment,Yes,£1001-£1500,9,Chosen,No further comments
684,478,1,Yes,Female,56-70,21-49 miles,01-Feb,Average knowledge,60,90,No,Quite sure,,My water bill is dear enough already,Quite sure,No,Quite sure,,45,Question skipped,No,,My water bill is dear enough already,Option A,,It is no different to normal,1,50%,40%,£5,4,5%,10%,£1,2,5%,10%,£1,3,10%,40%,£1,Option A,Option B,Option B,Option B,Quite sure,4,4,5 – Completely agree,All of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,4,GCSE’s / O levels,Part-time employment,No,£0-£500,10 - Perfectly clear,Chosen,No further comments
685,386,2,Yes,Female,40-55,50+ miles,03-May,Average knowledge,100,40,Yes,Quite sure,,,Question skipped,Yes,Very sure,80,,Yes,Question skipped,,,Option A,,No decrease in performance of product,2,50%,90%,£1,4,5%,10%,£1,1,5%,90%,£2.50,4,5%,10%,£5,Option B,Option B,Option B,Option A,Very sure,4,4,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Average knowledge,Yes,4,A level or college equivalent,Full-time employment,No,£2501-£3000,10 - Perfectly clear,,Very interesting
686,588,1,Yes,Male,40-55,3-10 miles,03-May,Average knowledge,5,5,Yes,Very sure,,,Question skipped,No,Unsure,,2,Question skipped,Yes,,,Option A,,Cheaper,2,50%,90%,£1,1,10%,10%,£0.50,2,5%,10%,£1,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,3,4,4,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,3,GCSE’s / O levels,Full-time employment,No,£2001-£2500,8,,A bit long winded to read some of it but is very relevant and interesting
687,487,1,Yes,Male,40-55,3-10 miles,01-Feb,Little knowledge,5,90,No,Very sure,Chosen,Don't know,Very sure,No,Very sure,,45,Question skipped,No,,Can't afford extra bill yearly.,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option A,Option A,Option A,Very sure,1 – Completely disagree,1 – Completely disagree,1 – Completely disagree,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,No,3,GCSE’s / O levels,Part-time employment,Yes,£501-£1000,9,Chosen,No further comments
911,506,2,Yes,Male,40-55,50+ miles,6+,Strong knowledge,90,40,Yes,Very sure,,,Question skipped,Yes,Very sure,80,,Yes,Question skipped,,,Option B,,need to make vast improvement  in his hand what we use in every day life .need to reduce harmful ingredients on all productd,2,50%,90%,£1,3,5%,40%,£0.50,3,10%,90%,£5,2,50%,10%,£2.50,Option B,Option B,Option B,Option A,Very sure,1 – Completely disagree,1 – Completely disagree,5 – Completely agree,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Prefer not to say,Strong knowledge,Yes,5 – Very confident,A level or college equivalent,Full-time employment,Yes,£2001-£2500,10 - Perfectly clear,Chosen,No further comments
912,429,1,Yes,Male,40-55,11-20 miles,01-Feb,Average knowledge,60,90,No,Very sure,,I said I wouldn't pay £60. That is a lot of money from every household. For us it is too much.,Very sure,No,Very sure,,45,Question skipped,Yes,,,Option A,Chosen,Don't know,3,5%,10%,£5,3,5%,40%,£0.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option A,Option B,Option B,Very sure,1 – Completely disagree,2,4,None of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,3,Bachelor’s degree,Part-time employment,No,£4001-£5000,6,,Some of the use of language was a bit difficult and I found the tables rather difficult to comprehend.
914,537,2,Yes,Female,40-55,50+ miles,01-Feb,Little knowledge,60,5,No,Quite sure,,Cant afford it,Quite sure,Yes,Very sure,10,,Yes,Question skipped,,,Option A,Chosen,Don't know,3,5%,10%,£5,4,5%,10%,£1,3,10%,90%,£5,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Quite sure,3,3,3,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Yes,3,GCSE’s / O levels,"Not in education, employment or training",No,£501-£1000,8,Not chosen,
915,630,2,Yes,Male,40-55,50+ miles,03-May,Little knowledge,40,20,No,Very sure,,It is up to the water company to fund this and not down to the paying public.,Very sure,Yes,Very sure,40,,No,Question skipped,,,Option B,,It would be worth paying a small amount to have safe results,1,50%,40%,£5,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,4,5 – Completely agree,5 – Completely agree,None of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Good knowledge,Yes,4,A level or college equivalent,Part-time employment,Yes,£501-£1000,10 - Perfectly clear,,This was a very interesting and thought provoking survey which was well laid out and enjoyable to do.
916,761,2,Yes,Female,56-70,21-49 miles,01-Feb,Average knowledge,100,10,Yes,Very sure,,,Question skipped,Yes,Very sure,20,,Yes,Question skipped,,,Option B,Chosen,Don't know,2,50%,90%,£1,4,5%,10%,£1,1,5%,90%,£2.50,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,3,3,3,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Yes,3,Bachelor’s degree,Self-employed,Yes,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
917,516,1,Yes,Female,40-55,11-20 miles,03-May,Good knowledge,60,80,Yes,Quite sure,,,Question skipped,Yes,Quite sure,160,,No,Question skipped,,,Option A,,"There was no reduction in the use of the product and price,  but B gave nothing but  asked for an increase in price",2,50%,90%,£1,2,5%,40%,£2.50,4,5%,90%,£0.50,2,50%,10%,£2.50,Option A,Option A,Option B,Option A,Quite sure,5 – Completely agree,4,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Strong knowledge,Yes,5 – Very confident,A level or college equivalent,Self-employed,No,£0-£500,10 - Perfectly clear,Chosen,No further comments
918,167,1,Yes,Male,40-55,21-49 miles,01-Feb,Little knowledge,5,5,No,Unsure,Chosen,Don't know,Quite sure,Yes,Quite sure,10,,Yes,Question skipped,,,Option A,Chosen,Don't know,3,5%,10%,£5,3,5%,40%,£0.50,4,5%,90%,£0.50,2,50%,10%,£2.50,Option A,Option B,Option A,Option B,Quite sure,3,3,1 – Completely disagree,None of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,No,4,A level or college equivalent,"Not in education, employment or training",No,£2501-£3000,7,Chosen,No further comments
919,938,2,Yes,Female,56-70,3-10 miles,6+,Little knowledge,90,10,No,Quite sure,,I live on a tight budget,Quite sure,No,Very sure,,5,Question skipped,Yes,,,Option A,,I would,2,50%,90%,£1,3,5%,40%,£0.50,2,5%,10%,£1,4,5%,10%,£5,Option A,Option B,Option B,Option A,Quite sure,3,3,4,None of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,4,GCSE’s / O levels,Part-time employment,Yes,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
920,377,2,Yes,Male,18-25,21-49 miles,03-May,Average knowledge,10,5,Yes,Quite sure,,,Question skipped,Yes,Very sure,10,,Yes,Question skipped,,,Option B,,A does not make any difference,2,50%,90%,£1,3,5%,40%,£0.50,1,5%,90%,£2.50,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,2,5 – Completely agree,5 – Completely agree,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Good knowledge,Yes,5 – Very confident,A level or college equivalent,Student,Yes,£501-£1000,10 - Perfectly clear,Chosen,No further comments
921,306,2,Yes,Female,26-39,3-10 miles,03-May,Average knowledge,5,80,Yes,Very sure,,,Question skipped,Yes,Very sure,160,,Yes,Question skipped,,,Option A,Chosen,Don't know,1,50%,40%,£5,2,5%,40%,£2.50,2,5%,10%,£1,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Very sure,3,4,5 – Completely agree,Some of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Little knowledge,Yes,4,A level or college equivalent,Part-time employment,Yes,£5001+,10 - Perfectly clear,Chosen,No further comments
922,410,2,Yes,Female,Prefer not to say,Don’t know,0,Average knowledge,60,100,No,Very sure,Chosen,Don't know,Very sure,No,Very sure,,50,Question skipped,No,Chosen,Don't know,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option A,Option B,Option B,Very sure,1 – Completely disagree,4,3,None of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,2,Prefer not to say,Student,Prefer not to say,Prefer not to say,5,Chosen,No further comments
923,619,1,Yes,Male,40-55,21-49 miles,03-May,Good knowledge,10,80,Yes,Very sure,,,Question skipped,Yes,Unsure,160,,No,Question skipped,,,Option B,,Far too much consumption of personel care products,2,50%,90%,£1,3,5%,40%,£0.50,2,5%,10%,£1,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Very sure,3,2,3,Some of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Good knowledge,Don’t know,4,Bachelor’s degree,Full-time employment,No,£3001-£4000,9,Chosen,No further comments
924,920,2,Yes,Female,40-55,11-20 miles,03-May,Average knowledge,80,60,No,Quite sure,,"i think 80 is a bit much, i would be willing to pay nearer 50, about 4 pounds a month extra. all utility bills and groceries and fuel are extortionate prices at the moment. i am on a minimum wage job and cannot afford to give that",Very sure,Yes,Quite sure,120,,No,Question skipped,,,Option A,,i cannot believe that these prices are correct. there are companies out there now that say they do not use harmful ingredients in their products and the prices are no where near these prices you are quoting. surely there are more natural products that can be used not at these inflated prices,3,5%,10%,£5,1,10%,10%,£0.50,1,5%,90%,£2.50,1,50%,10%,£0.50,Option A,Option B,Option B,Option B,Quite sure,3,4,4,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,No,3,A level or college equivalent,Full-time employment,No,£1001-£1500,8,,"i am all for making the envoronment better, improving it for future generations and not the world ending because of the way we treat it. but surely there are cheaper ways than this. yes, i am willing to pay some extra into my water bill, but the government, the companies who make the products , they should be making more of an effort. we have all known for decades how our planet is being destroyed , its little too late now. this should have all been done a lot earlier. companies should have been banned from using microplastics in all of their products. people should be educated better."
925,226,2,Yes,Female,56-70,50+ miles,01-Feb,No knowledge,40,80,No,Unsure,,i cant afford any more,Unsure,No,Quite sure,,40,Question skipped,No,,i cant afford it,Option A,Chosen,Don't know,2,50%,90%,£1,4,5%,10%,£1,2,5%,10%,£1,3,10%,40%,£1,Option B,Option A,Option A,Option A,Quite sure,3,3,3,None of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,No knowledge,Don’t know,3,Bachelor’s degree,Full-time employment,Yes,£2001-£2500,4,Chosen,No further comments
926,299,1,Yes,Female,56-70,3-10 miles,6+,Average knowledge,5,5,Yes,Quite sure,,,Question skipped,Yes,Quite sure,10,,No,Question skipped,,,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,1,5%,90%,£2.50,4,5%,10%,£5,Option A,Option B,Option B,Option A,Quite sure,3,3,3,None of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,Prefer not to say,Average knowledge,No,3,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,7,Chosen,No further comments
927,499,1,Yes,Female,56-70,50+ miles,03-May,Average knowledge,20,100,Yes,Unsure,,,Question skipped,No,Quite sure,,50,Question skipped,Yes,,,Option A,,NO DIFFERENCE in PERFORMANCE for a higher cost,3,5%,10%,£5,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option B,Option A,Option B,Quite sure,3,4,4,Some of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,Don’t know,4,Bachelor’s degree,Retired,No,£1001-£1500,9,Chosen,No further comments
928,321,1,Yes,Female,56-70,Don’t know,0,Little knowledge,80,20,No,Very sure,Chosen,Don't know,Very sure,Yes,Very sure,40,,No,Question skipped,,,Option A,Chosen,Don't know,4,10%,10%,£2.50,1,10%,10%,£0.50,4,5%,90%,£0.50,3,10%,40%,£1,Option A,Option A,Option A,Option A,Very sure,3,3,3,Some of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,No knowledge,Don’t know,4,GCSE’s / O levels,"Not in education, employment or training",No,£0-£500,10 - Perfectly clear,Chosen,No further comments
930,352,2,Yes,Female,56-70,50+ miles,01-Feb,Little knowledge,90,40,No,Very sure,,Can afford to pay  ore,Very sure,No,Very sure,,20,Question skipped,No,Chosen,Don't know,Option A,Chosen,Don't know,2,50%,90%,£1,2,5%,40%,£2.50,3,10%,90%,£5,3,10%,40%,£1,Option A,Option A,Option A,Option B,Very sure,3,3,4,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Don’t know,3,GCSE’s / O levels,Part-time employment,Yes,£1001-£1500,7,Chosen,No further comments
931,664,2,Yes,Male,40-55,50+ miles,6+,Little knowledge,10,5,No,Very sure,,"because we already pay an extortionate amount for the service, why not take it out of the dividends paid out to the fat cats every year.",Very sure,No,Very sure,,2,Question skipped,No,,"as I have already explained, take it out of the dividends of the fat cats.",Option A,,because im not in a financial position to be able to pay more,3,5%,10%,£5,3,5%,40%,£0.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Very sure,2,2,2,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,2,GCSE’s / O levels,Full-time employment,No,£1501-£2000,7,Chosen,No further comments
932,683,1,Yes,Female,56-70,21-49 miles,01-Feb,Little knowledge,40,40,No,Very sure,,Same reason as before,Very sure,No,Very sure,,20,Question skipped,No,,My water bill is quite high enough the government should be paying for this type of thing,Option A,Chosen,Don't know,2,50%,90%,£1,2,5%,40%,£2.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Very sure,2,2,2,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,3,GCSE’s / O levels,Part-time employment,Yes,£1001-£1500,6,Chosen,No further comments
933,590,1,Yes,Female,40-55,11-20 miles,03-May,Average knowledge,100,60,No,Quite sure,,I think that the government should be paying for this,Quite sure,Yes,Very sure,120,,Yes,Question skipped,,,Option A,,I don't think that the consumer should be penalised,1,50%,40%,£5,2,5%,40%,£2.50,1,5%,90%,£2.50,3,10%,40%,£1,Option A,Option A,Option A,Option A,Quite sure,3,4,3,Some of it,Not chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Good knowledge,Yes,2,Bachelor’s degree,Full-time employment,Yes,£5001+,10 - Perfectly clear,Chosen,No further comments
934,494,1,Yes,Male,56-70,21-49 miles,03-May,Little knowledge,10,100,Yes,Very sure,,,Question skipped,No,Quite sure,,50,Question skipped,No,,Because of these difficult times I should not have to pay extra for my water,Option B,,Because it is very good for the environment,3,5%,10%,£5,1,10%,10%,£0.50,1,5%,90%,£2.50,1,50%,10%,£0.50,Option A,Option B,Option A,Option A,Very sure,1 – Completely disagree,1 – Completely disagree,1 – Completely disagree,Some of it,Not chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,No,4,GCSE’s / O levels,Full-time employment,Yes,£1501-£2000,10 - Perfectly clear,,It was a very pleasing survey to take part in thank you
935,329,2,Yes,Female,56-70,21-49 miles,01-Feb,Good knowledge,40,80,No,Very sure,,I already cannot pay essential bills,Very sure,No,Very sure,,40,Question skipped,No,,None,Option A,,See above,2,50%,90%,£1,2,5%,40%,£2.50,3,10%,90%,£5,4,5%,10%,£5,Option A,Option A,Option A,Option A,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Good knowledge,No,1 – Very unconfident,Postgraduate degree,"Not in education, employment or training",No,£1001-£1500,10 - Perfectly clear,Chosen,No further comments
936,254,1,Yes,Female,18-25,0-2 miles,0,Average knowledge,90,60,No,Quite sure,,Don’t have the money,Quite sure,Yes,Quite sure,120,,No,Question skipped,,,Option A,,Better for everyone,1,50%,40%,£5,3,5%,40%,£0.50,4,5%,90%,£0.50,2,50%,10%,£2.50,Option B,Option B,Option A,Option B,Quite sure,3,5 – Completely agree,2,Some of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,2,A level or college equivalent,Student,Yes,£1501-£2000,9,Chosen,No further comments
938,298,1,Yes,Female,40-55,21-49 miles,03-May,Average knowledge,40,5,No,Quite sure,Chosen,Don't know,Quite sure,Yes,Very sure,10,,Yes,Question skipped,,,Option A,,There are no benefits to B,2,50%,90%,£1,2,5%,40%,£2.50,3,10%,90%,£5,3,10%,40%,£1,Option B,Option A,Option A,Option B,Very sure,4,4,5 – Completely agree,All of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,Yes,Strong knowledge,Yes,5 – Very confident,Bachelor’s degree,"Not in education, employment or training",No,£5001+,10 - Perfectly clear,Chosen,No further comments
